"match_column","match_value","target_column","corrected_value"
"Nombre común","El Azucar","Nombre común","El Azúcar"
"Nombre común","El Azúcar, Tamps.","Nombre común","El Azúcar"
"Nombre de presa","Marte Rodolfo Gómez, Tamps.","Nombre de presa","Marte R. Gómez, Tamps."
"Nombre común","Chilatan","Nombre común","Chilatán, Jal."
"Nombre de presa","Constitución de Apatzingán, Mich.","Nombre de presa","Constitución de Apatzingán, Jal."
"Nombre común","El Caracol","Nombre común","El Caracol, Gro."
"Nombre común","El Granero","Nombre común","El Granero, Chih."
"Nombre común","El Palmito","Nombre común","El Palmito, Dgo."
"Nombre común","Falcón","Nombre común","Falcón, Tamps."
"NAME Almacenamiento (hm³)","27.39","Nombre común","Los Naranjos, Dgo."
"Nombre común","GuamÃºchil, Sin.","Nombre común","Guamúchil, Sin."
"Nombre común","GuamÃºchil, Sin.","Nombre de presa","Guamúchil, Sin."
"Nombre común","La Amistad","Nombre común","La Amistad, Coah."
"Nombre común","La Amistad, Coah.","Nombre de presa","La Amistad, Coah."
"NAME Elevación (msnm)","1249.85","Nombre de presa","La Colina, Chih."
"NAME Elevación (msnm)","1249.85","Nombre común","La Colina, Chih."
"Nombre común","La Yesca","Nombre de presa","La Yesca, Jal."
"Nombre común","La Yesca","Nombre común","La Yesca, Jal."
"Nombre común","Necaxa","Nombre de presa","Necaxa, Pue."
"Nombre común","Necaxa, Pue.","Nombre de presa","Necaxa, Pue."
"Nombre común","Necaxa","Nombre común","Necaxa, Pue."
"Nombre común","Necaxa, Pue.","Nombre común","Necaxa, Pue."
"Nombre común","Piedras azules","Nombre de presa","Piedras Azules, Chih."
"Nombre común","Piedras Azules","Nombre de presa","Piedras Azules, Chih."
"Nombre común","Piiedras azules","Nombre de presa","Piedras Azules, Chih."
"Nombre común","Piedras azules","Nombre común","Piedras Azules, Chih."
"Nombre común","Piedras Azules","Nombre común","Piedras Azules, Chih."
"Nombre común","Piiedras azules","Nombre común","Piedras Azules, Chih."
"NAME Elevación (msnm)","1998.42","Nombre de presa","Piedras Azules, Chih."
"NAME Elevación (msnm)","1998.42","Nombre común","Piedras Azules, Chih."
"NAME Elevación (msnm)","748","Nombre de presa","Santa Rosa, Jal."
"NAME Elevación (msnm)","748","Nombre común","Santa Rosa, Jal."
"Nombre común","Santa Rosa","Nombre de presa","Santa Rosa, Zac."
"Nombre común","Santa Rosa, Zac.","Nombre de presa","Santa Rosa, Zac."
"Nombre común","Santa Rosa","Nombre común","Santa Rosa, Zac."
"Nombre común","Santa Rosa, Zac.","Nombre común","Santa Rosa, Zac."
"NAME Elevación (msnm)","600.25","Nombre de presa","Santa Teresa, Son."
"NAME Elevación (msnm)","600.25","Nombre común","Santa Teresa, Son."
"NAME Elevación (msnm)","1949.33","Nombre de presa","Santa Teresa, Zac."
"NAME Elevación (msnm)","1949.33","Nombre común","Santa Teresa, Zac."
"NAME Almacenamiento (hm³)","169.869","Nombre de presa","Santiago Bayacora, Dgo."
"NAME Almacenamiento (hm³)","169.869","Nombre común","Santiago Bayacora, Dgo."
"Nombre común","Santiago","Nombre de presa","Santiago, Zac."
"Nombre común","Santiago","Nombre común","Santiago, Zac."
"Nombre común","Tecoman","Nombre de presa","Tecomán, Col."
